 
 =================================================
      AMS 260 - CFD, 1D Euler FVM Code            
       Written by Prof. Dongwook Lee              
            Winter Quarter, 2015                  
 =================================================
 
 
        Initial condition was written!            
 =================================================
    Steps      Time              dt               
   612      1.15031311       0.00187155
   613      1.15218398       0.00187088
   614      1.15405367       0.00186969
   615      1.15592295       0.00186928
   616      1.15779134       0.00186839
   617      1.15965905       0.00186771
   618      1.16152683       0.00186778
   619      1.16339380       0.00186696
   620      1.16526059       0.00186679
   621      1.16712693       0.00186635
   622      1.16899295       0.00186601
   623      1.17085857       0.00186563
   624      1.17272370       0.00186513
   625      1.17458881       0.00186511
   626      1.17645323       0.00186442
   627      1.17831768       0.00186446
   628      1.18018148       0.00186380
   629      1.18204515       0.00186367
   630      1.18390832       0.00186316
   631      1.18577121       0.00186290
   632      1.18763328       0.00186206
   633      1.18949390       0.00186062
   634      1.19135349       0.00185960
   635      1.19321132       0.00185782
   636      1.19506793       0.00185661
   637      1.19692410       0.00185617
   638      1.19877874       0.00185464
   639      1.20063257       0.00185384
   640      1.20248636       0.00185379
   641      1.20433961       0.00185325
   642      1.20619242       0.00185281
   643      1.20804549       0.00185307
   644      1.20989886       0.00185337
   645      1.21175215       0.00185329
   646      1.21360603       0.00185388
   647      1.21546069       0.00185466
   648      1.21731570       0.00185501
   649      1.21917166       0.00185596
   650      1.22102694       0.00185529
   651      1.22288065       0.00185370
   652      1.22473354       0.00185289
   653      1.22658550       0.00185197
   654      1.22843625       0.00185075
   655      1.23028656       0.00185031
   656      1.23213716       0.00185060
   657      1.23398711       0.00184995
   658      1.23583691       0.00184981
   659      1.23768727       0.00185036
   660      1.23953813       0.00185086
   661      1.24138922       0.00185109
   662      1.24324119       0.00185196
   663      1.24509367       0.00185248
   664      1.24694688       0.00185321
   665      1.24880074       0.00185386
   666      1.25065522       0.00185447
   667      1.25251082       0.00185560
   668      1.25436686       0.00185604
   669      1.25622397       0.00185711
   670      1.25808190       0.00185793
   671      1.25994078       0.00185888
   672      1.26179948       0.00185870
   673      1.26365798       0.00185850
   674      1.26551565       0.00185767
   675      1.26737285       0.00185720
   676      1.26923035       0.00185750
   677      1.27108843       0.00185808
   678      1.27294625       0.00185782
   679      1.27480454       0.00185829
   680      1.27666397       0.00185944
   681      1.27852521       0.00186123
   682      1.28038741       0.00186220
   683      1.28225087       0.00186347
   684      1.28411622       0.00186534
   685      1.28598311       0.00186689
   686      1.28784957       0.00186646
   687      1.28971637       0.00186680
   688      1.29158324       0.00186687
   689      1.29344988       0.00186664
   690      1.29531703       0.00186716
   691      1.29718541       0.00186838
   692      1.29905528       0.00186986
   693      1.30092583       0.00187056
   694      1.30279776       0.00187193
   695      1.30467171       0.00187394
   696      1.30654761       0.00187590
   697      1.30842249       0.00187488
   698      1.31029643       0.00187394
   699      1.31216913       0.00187270
   700      1.31404137       0.00187224
   701      1.31591218       0.00187080
   702      1.31778238       0.00187021
   703      1.31965147       0.00186909
   704      1.32151976       0.00186829
